เลขทะเบียน,ชื่อโรงงาน,ที่อยู่,สถานะ,Prefix,Activity_Code,Serial_No,Year,Province_Code,Type,ลำดับ,Activity,Serial,Province
จ3-50(4)-1/40ปท,บริษัท บัญชากิจ จำกัด,71 ม.14 ซ.-ถ.- ต.ลำไทรอ.ลำลูกกา จ.ปทุมธานี,ไม่เข้าข่ายเนื่องจากผลิตแอสฟัลท์ติกคอนกรีตพิจารณาเสร็จ,,,,,,,,,,
3-50(4)-1/43ปท,บริษัท ซีอาร์เอ กรุ๊ป จำกัด,38 ม.10ถ.วงแหวนตะวันตกสาย 37 ต.คูบางหลวงอ.ลาดหลุมแก้ว จ.ปทุมธานี,ไม่เข้าข่ายเนื่องจากผลิตแอสฟัลท์ติกคอนกรีตพิจารณาเสร็จ,,,,,,,,,,
3-50(4)-1/31ปท,บริษัท พรีเมียลูบริแค้นท์ จำกัด,28/13 ม.3 ซ.ใจเอื้อถ.กรุงเทพ-ปทุมธานี ต.บางขะแยงอ.เมืองปทุมธานี จ.ปทุมธานี,ผ่านเกณฑ์  ดีพิจารณาเสร็จ 9/1/2557  มีข้อแนะนำหรือเงื่อนไขเพิ่มเติม,,,,,,,,,,
3-50(4)-1/16ปท,บริษัท สยามลูบริแค้นท์อินดัสทรี่ จำกัด,28/8 ม.3 ซ.ใจเอื้อถ.กรุงเทพ-ปทุมธานี ต.บางขะแยงอ.เมืองปทุมธานี จ.ปทุมธานี,ผ่านเกณฑ์  ดีพิจารณาเสร็จ 12/2/2557  มีข้อแนะนำหรือเงื่อนไขเพิ่มเติม,,,,,,,,,,
จ3-45(1)-1/37ปท,บริษัท ลีน่า (ประเทศไทย) จำกัด,40 ม.4ถ.รังสิต-นครนายก ต.บึงบอนอ.หนองเสือ จ.ปทุมธานี,ผ่านเกณฑ์  ดีพิจารณาเสร็จ 24/6/2557,,,,,,,,,,
จ3-45(1)-4/52ปท,ห้างหุ้นส่วนจำกัด บีอาร์เอ็ม เพ้นท์,42/13 ม.5 ซ.โครงการเจนเซ่นถ.ลำลูกกา ต.ลำลูกกาอ.ลำลูกกา จ.ปทุมธานี,ผ่านเกณฑ์  ดีพิจารณาเสร็จ 8/9/2557  เห็นชอบ/หยุดเวล/ดำเนินการต่อไป(17/7/2557) / รับเรื่องใหม่อีกครั้งวันที่ 6 ส.ค. 57 ผ่านเลขาอีกครั้ง(5/9/2557),,,,,,,,,,
จ3-48(6)-2/62ปท,บริษัท เอ็นวาย-เทค อิ้งค์แอนด์เคมิคอลส์ จำกัด,87 ม.3 ต.บ้านกลางอ.เมืองปทุมธานี จ.ปทุมธานี,ยังไม่ได้ดำเนินการกรอ.ออกหนังสือ 7/2/2565,,,,,,,,,,
จ3-42(1)-5/56ปท,บริษัท แท แซน (ประเทศไทย) จำกัด,44/2 ม.2ถ.บางบัวทอง-สุพรรณบุรี ต.หน้าไม้อ.ลาดหลุมแก้ว จ.ปทุมธานี,ผ่านเกณฑ์  ดีพิจารณาเสร็จ 29/11/2556  ไม่มีเงื่อนไข,,,,,,,,,,
จ3-45(1)-13/49ปท,บริษัท โภคา โพลี สกรีนส์ (ประเทศไทย) จำกัด,52 ม.18 ต.บึงทองหลางอ.ลำลูกกา จ.ปทุมธานี,ไม่ผ่านเกณฑ์พิจารณาเสร็จ 7/3/2557  ขอหยุดเวลาการพิจารณา,,,,,,,,,,
จ3-45(1)-1/37ปท,บริษัท ลีน่า (ประเทศไทย) จำกัด,40 ม.4ถ.รังสิต-นครนายก ต.บึงบอนอ.หนองเสือ จ.ปทุมธานี,ไม่ผ่านเกณฑ์พิจารณาเสร็จ 12/3/2557  มีหนังสือเชิญผู้ประกอบการมาพบเพื่อรับฟังคำชี้แจง,,,,,,,,,,
